file,species,date,capitula,clusters,flowers,inflorescences,other,plants,unknown1,unknown2,double.count,filelow,sp1,sp2,sp3,latbi,new.genus,new.epithet
int51994,"grass - tall bunch grass, N side (Poa?)",6/4/94,,,,,,,,,,int51994,"grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?)","grass - tall bunch grass, N side (Poa?) grass - tall bunch grass, N side (Poa?) grass - tall bunch grass, N side (Poa?)"
rm21994,"grass - short, tight heads",6/4/94,,,,,,,,,,rm21994,"grass - short, tight heads","grass - short, tight heads","grass - short, tight heads","grass - short, tight heads grass - short, tight heads grass - short, tight heads"
rm61994,"grass - bunchgrass, NE corner",6/4/94,,,,,,,,,,rm61994,"grass - bunchgrass, NE corner","grass - bunchgrass, NE corner","grass - bunchgrass, NE corner","grass - bunchgrass, NE corner grass - bunchgrass, NE corner grass - bunchgrass, NE corner"
rm81994,"grass - heavy heads, drooping some, large flowers",6/4/94,,,,,,,,,,rm81994,"grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers grass - heavy heads, drooping some, large flowers grass - heavy heads, drooping some, large flowers"
wm21994,"grass, medium awns, tight spike  S end of plot",6/4/94,,,,,,,,,,wm21994,"grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot","grass, medium awns, tight spike  S end of plot grass, medium awns, tight spike  S end of plot grass, medium awns, tight spike  S end of plot"
wm41994,"grass - tall bunch grass, NE corner",6/4/94,,,,,,,,,,wm41994,"grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner","grass - tall bunch grass, NE corner grass - tall bunch grass, NE corner grass - tall bunch grass, NE corner"
gp21995,grass - pearl grass?  NE corner,6/10/95,,,,,,,,,,gp21995,grass - pearl grass?  NE corner,grass - pearl grass?  NE corner,grass - pearl grass?  NE corner,grass - pearl grass?  NE corner grass - pearl grass?  NE corner grass - pearl grass?  NE corner,,
int51995,"grass - long tight heads, middle of plot",6/10/95,,,,,,,,,,int51995,"grass - long tight heads, middle of plot","grass - long tight heads, middle of plot","grass - long tight heads, middle of plot","grass - long tight heads, middle of plot grass - long tight heads, middle of plot grass - long tight heads, middle of plot",Elymus,trachycaulis
rm31995,"grass - short tight heads, robust",6/5/95,,,,,,,,,,rm31995,"grass - short tight heads, robust","grass - short tight heads, robust","grass - short tight heads, robust","grass - short tight heads, robust grass - short tight heads, robust grass - short tight heads, robust",,
rm41995,Epilobium  annual species,6/5/95,,,,,,,,,,rm41995,Epilobium,annual,species,Epilobium annual species,,
rm41995,"grass - short tight heads, like an unexpanded Poa, small glumes",6/5/95,,,,,,,,,,rm41995,"grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes","grass - short tight heads, like an unexpanded Poa, small glumes grass - short tight heads, like an unexpanded Poa, small glumes grass - short tight heads, like an unexpanded Poa, small glumes",,
rm41995,"grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes",6/5/95,,,,,,,,,,rm41995,"grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes","grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes grass - slightly spreading, yellow anthers, tall, NW corner  reddish color in glumes",,
rm51995,"grass - robust, short, compact, East of rock in middle",6/5/95,,,,,,,,,,rm51995,"grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle grass - robust, short, compact, East of rock in middle grass - robust, short, compact, East of rock in middle",,
rm61995,"grass - slightly spreading, reddish  like grass in plot #4, in NE corner",6/5/95,,,,,,,,,,rm61995,"grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner","grass - slightly spreading, reddish  like grass in plot #4, in NE corner grass - slightly spreading, reddish  like grass in plot #4, in NE corner grass - slightly spreading, reddish  like grass in plot #4, in NE corner",,
rm61995,"grass - tight head, smaller glumes than reddish grass; N side and middle",6/5/95,,,,,,,,,,rm61995,"grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle","grass - tight head, smaller glumes than reddish grass; N side and middle grass - tight head, smaller glumes than reddish grass; N side and middle grass - tight head, smaller glumes than reddish grass; N side and middle",,
rm71995-1,"grass, tight heads, west side",6/5/95,,,,,,,,,,rm71995-1,"grass, tight heads, west side","grass, tight heads, west side","grass, tight heads, west side","grass, tight heads, west side grass, tight heads, west side grass, tight heads, west side",,
int11996,Agropyron,5/10/96,,,,,,,,,,int11996,Agropyron,,,Agropyron  ,Elymus,trachycaulis
int11996,"grass - long tight head, medium-long awns, SE corner",5/10/96,,,,,,,,,,int11996,"grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner grass - long tight head, medium-long awns, SE corner grass - long tight head, medium-long awns, SE corner",,
int41996,"grass - spike, long awns, 1/3 down leaf blade",5/10/96,,,,,,,,,,int41996,"grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade","grass - spike, long awns, 1/3 down leaf blade grass - spike, long awns, 1/3 down leaf blade grass - spike, long awns, 1/3 down leaf blade",,
rm71996,Orobanche uniflora,5/10/96,,,,,,,,,,rm71996,Orobanche,uniflora,,Orobanche uniflora ,,
greenhouse plot #2 - 1997,unknown #1,5/18/97,,,,,,,,,,greenhouse plot #2 - 1997,unknown,#1,,unknown #1 ,,
rocky meadow plot #1 - 1997,Gastrolychnis drummondii (maybe Silene antirrhina?),5/18/97,,,,,,,,,,rocky meadow plot #1 - 1997,Gastrolychnis drummondii (maybe Silene antirrhina?),Gastrolychnis drummondii (maybe Silene antirrhina?),Gastrolychnis drummondii (maybe Silene antirrhina?),Gastrolychnis drummondii (maybe Silene antirrhina?) Gastrolychnis drummondii (maybe Silene antirrhina?) Gastrolychnis drummondii (maybe Silene antirrhina?),,
rocky meadow plot #1 - 1997,"grass, tight inflorescence, leaf sheath 2"" taller than inflorescence",5/18/97,,,,,,,,,,rocky meadow plot #1 - 1997,"grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence","grass, tight inflorescence, leaf sheath 2"" taller than inflorescence grass, tight inflorescence, leaf sheath 2"" taller than inflorescence grass, tight inflorescence, leaf sheath 2"" taller than inflorescence",,,
rocky meadow plot #2 - 1997,"grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)",5/18/97,,,,,,,,,,rocky meadow plot #2 - 1997,"grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)","grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish) grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish) grass, leaf blade below inflorescence about 8"" long, about 2"" taller than inflorescence, tighter inflorescence than Poa, big anthers (a bit reddish)",,,
rocky meadow plot #4 - 1997,Epilobium brachycarpum,5/18/97,,,,,,,,,,rocky meadow plot #4 - 1997,Epilobium,brachycarpum,,Epilobium brachycarpum ,,,
rocky meadow plot #4 - 1997,"grass, NW corner and N side, big yellow anthers, blade longer than inflorescence",5/18/97,,,,,,,,,,rocky meadow plot #4 - 1997,"grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence","grass, NW corner and N side, big yellow anthers, blade longer than inflorescence grass, NW corner and N side, big yellow anthers, blade longer than inflorescence grass, NW corner and N side, big yellow anthers, blade longer than inflorescence",,,
rocky meadow plot #5 - 1997,"grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath",5/18/97,,,,,,,,,,rocky meadow plot #5 - 1997,"grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath","grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath grass, Poa-like but short (< 6""), inflorescence barely emerging from sheath",,,
rocky meadow plot #6 - 1997,"grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes",5/18/97,,,,,,,,,,rocky meadow plot #6 - 1997,"grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes","grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes grass, NE corner, reddish node, inflorescence tighter than Poa, larger glumes",,,
wet meadow #3 - 1997,Agropyron trachycaulus.1,5/18/97,,,,,,,,,,wet meadow #3 - 1997,Agropyron,trachycaulus.1,,Agropyron trachycaulus.1 ,Elymus,trachycaulis,
willow-meadow interface #4 - 1997,"grass, middle of west side, bunchgrass, Poa-like but more robust",5/18/97,,,,,,,,,,willow-meadow interface #4 - 1997,"grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust","grass, middle of west side, bunchgrass, Poa-like but more robust grass, middle of west side, bunchgrass, Poa-like but more robust grass, middle of west side, bunchgrass, Poa-like but more robust",,,
willow-meadow interface #5 - 1997,"grass, middle of plot, tight heads, medium-length awns",5/18/97,,,,,,,,,,willow-meadow interface #5 - 1997,"grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns","grass, middle of plot, tight heads, medium-length awns grass, middle of plot, tight heads, medium-length awns grass, middle of plot, tight heads, medium-length awns",,,
willow-meadow interface #5 - 1997,"grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)",5/18/97,,,,,,,,,,willow-meadow interface #5 - 1997,"grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)","grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4) grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4) grass, NW corner, like a big, spreading Poa, big flowers (same as in WM4)",,,
greenhouse plot #1 - 1998,"grass - W side, giant Poa??",5/2/98,,,,,,,,,,greenhouse plot #1 - 1998,"grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa??","grass - W side, giant Poa?? grass - W side, giant Poa?? grass - W side, giant Poa??",,,
greenhouse plot #2 - 1998,grass - pearl grass?,5/2/98,,,,,,,,,,greenhouse plot #2 - 1998,grass - pearl grass?,grass - pearl grass?,grass - pearl grass?,grass - pearl grass? grass - pearl grass? grass - pearl grass?,,,
greenhouse plot #3 - 1998,"grass - tight long spike with lots of small white anthers, medium awns",6/24/98,,,,,,,,,,greenhouse plot #3 - 1998,"grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns","grass - tight long spike with lots of small white anthers, medium awns grass - tight long spike with lots of small white anthers, medium awns grass - tight long spike with lots of small white anthers, medium awns",Trisetum,spicatum,replaces desc in subsequent yrs; fits desc
greenhouse plot #4 - 1998,"grass - second Poa species?  Big white anthers, not very reflexed, NE side",6/24/98,,,,,,,,,,greenhouse plot #4 - 1998,"grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side","grass - second Poa species?  Big white anthers, not very reflexed, NE side grass - second Poa species?  Big white anthers, not very reflexed, NE side grass - second Poa species?  Big white anthers, not very reflexed, NE side",,,
rocky meadow #1 - 1998,"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes",4/30/98,,,,,,,,,,rocky meadow #1 - 1998,"grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes","grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes grass - SE corner, medium-size yellow anthers, slightly loose head, short awns, red nodes",,,
