file,species,date,capitula,clusters,flowers,inflorescences,other,plants,unknown1,unknown2,double.count,filelow,sp1,sp2,sp3,latbi,,need.change,new.genus,new.epithet,notes
RM1-1973,Collomia  linearis,6/6/73,,,,,,,,,,rm1-1973,Collomia,linearis,,Collomia linearis ,,no,,,
rocky meadow #8 - 2000,Conioselenium ssp.,4/8/00,,,,,,,,,,rocky meadow #8 - 2000,Conioselenium,ssp.,,Conioselenium ssp. ,,yes,Ligusticum,porteri,not in RMBL herbarium
SB6-1973,Corallorhiza  trifida,7/10/73,,,24,,,3,,,,sb6-1973,Corallorhiza,trifida,,Corallorhiza trifida ,,no,,,present in aspen forest but no longer in any plot
VR1-1974,Crucifer,5/26/74,,,,,,,,,,vr1-1974,Crucifer,,,Crucifer  ,,,,,impossible to determine - A. drummondii?
EM1-1974,Delphinium barbeyi,5/26/74,,,,,,,,,,em1-1974,Delphinium,barbeyi,,Delphinium barbeyi ,,no,,,
rocky meadow #1 - 2003,Delphinium nuttallianum,4/26/03,,,,,,,,,,rocky meadow #1 - 2003,Delphinium,nuttallianum,,Delphinium nuttallianum ,,no,,,
wm4-1983,Deschampsia  caespitosa,6/8/83,,,,,,,,,,wm4-1983,Deschampsia,caespitosa,,Deschampsia caespitosa ,,no,,,
rm61992,Deschampsia?  SE corner,5/14/92,,,,,,,,,,rm61992,Deschampsia?,SE,corner,Deschampsia? SE corner,,yes,Deschampsia,caespitosa,
gp21991,Deschampsia? - pearl grass,5/30/91,,,,,,,,,,gp21991,Deschampsia? - pearl grass,Deschampsia? - pearl grass,Deschampsia? - pearl grass,Deschampsia? - pearl grass Deschampsia? - pearl grass Deschampsia? - pearl grass,,yes,Deschampsia,caespitosa,
wm41991,Deschampsia?? (pearl grass??),5/30/91,,,,,,,,,,wm41991,Deschampsia??,(pearl,grass??),Deschampsia?? (pearl grass??),,yes,Deschampsia,caespitosa,
EM1-1974,Descurainea richardsonii,5/26/74,,,,,,,,,,em1-1974,Descurainea,richardsonii,,Descurainea richardsonii ,,no,,,
RM8-1973,Dodecatheon  pulchellum,7/10/73,,,46,,,30,,,,rm8-1973,Dodecatheon,pulchellum,,Dodecatheon pulchellum ,,no,,,
EM1-1974,Draba aurea,5/26/74,,,,,,,,,,em1-1974,Draba,aurea,,Draba aurea ,,no,,,
gp1-1985,Draba  nemorosa,6/5/85,,,,,,,,,,gp1-1985,Draba,nemorosa,,Draba nemorosa ,,no,,,
w-m5-85,Draba,5/30/85,,,,,,,,,,w-m5-85,Draba,,,Draba  ,,,,,not present in other Excel file for WM5-1985
greenhouse plot #5 - 1999,Dugaldia hoopsii,5/21/99,,,,,,,,,,greenhouse plot #5 - 1999,Dugaldia,hoopsii,,Dugaldia hoopsii ,,yes,Dugaldia,hoopesii,
erythronium meadow #1 - 2000,Elymus trachycaulus,4/8/00,,,,,,,,,,erythronium meadow #1 - 2000,Elymus,trachycaulus,,Elymus trachycaulus ,,no,,,
greenhouse plot #4 - 1999,Elymus spp,5/21/99,,,,,,,,,,greenhouse plot #4 - 1999,Elymus,spp,,Elymus spp ,,yes,Elymus,trachycaulis,
int11994,"Elymus  ""wheat grass""",6/4/94,,,,,,,,,,int11994,Elymus,"""wheat","grass""","Elymus ""wheat grass""",,yes,Elymus,trachycaulis,
rm11996,Elymus elymoides,5/10/96,,,,,,,,,,rm11996,Elymus,elymoides,,Elymus elymoides ,,yes,Elymus,trachycaulis,
rm9-1984,Elymus,5/27/84,,,,,,,,,,rm9-1984,Elymus,,,Elymus  ,,yes,Elymus,trachycaulis,
rm91994,"Elymus (""wheat grass"")",6/4/94,,,,,,,,,,rm91994,Elymus,"(""wheat","grass"")","Elymus (""wheat grass"")",,yes,Elymus,trachycaulis
rocky meadow #3 - 2004,Elymus longifolius,4/25/04,,,,,,,,,,rocky meadow #3 - 2004,Elymus,longifolius,,Elymus longifolius ,,yes,Elymus,trachycaulis
rocky meadow #4 - 2004,Elymus (Agropyron) trachycaulus,4/29/04,,,,,,,,,,rocky meadow #4 - 2004,Elymus,(Agropyron),trachycaulus,Elymus (Agropyron) trachycaulus,,yes,Elymus,trachycaulis
rocky meadow #6 - 1999,Elymus spp.,5/21/99,,,,,,,,,,rocky meadow #6 - 1999,Elymus,spp.,,Elymus spp. ,,yes,Elymus,trachycaulis
wet meadow #2 - 2004,Elymus trachycaulis,5/3/04,,,,,,,,,,wet meadow #2 - 2004,Elymus,trachycaulis,,Elymus trachycaulis ,,no,,
wet meadow #3 - 2000,Elymus ssp.,4/8/00,,,,,,,,,,wet meadow #3 - 2000,Elymus,ssp.,,Elymus ssp. ,,yes,Elymus,trachycaulis
willow-meadow interface #5 - 2004,Elymus thurberi,5/1/04,,,,,,,,,,willow-meadow interface #5 - 2004,Elymus,thurberi,,Elymus thurberi ,,yes,Elymus,trachycaulis
Erythronium Meadow #2 - 2006,Elymus (Agropyron) trachycaulus - slender wheatgrass,5/2/06,,,,,,,,,,erythronium meadow #2 - 2006,Elymus (Agropyron) trachycaulus - slender wheatgrass,Elymus (Agropyron) trachycaulus - slender wheatgrass,Elymus (Agropyron) trachycaulus - slender wheatgrass,Elymus (Agropyron) trachycaulus - slender wheatgrass Elymus (Agropyron) trachycaulus - slender wheatgrass Elymus (Agropyron) trachycaulus - slender wheatgrass,,yes,Elymus,trachycaulis
erythronium meadow #1 - 2003,Elymus (Agropyron) trachycaulus - wild rye,5/17/03,,,,,,,,,,erythronium meadow #1 - 2003,Elymus (Agropyron) trachycaulus - wild rye,Elymus (Agropyron) trachycaulus - wild rye,Elymus (Agropyron) trachycaulus - wild rye,Elymus (Agropyron) trachycaulus - wild rye Elymus (Agropyron) trachycaulus - wild rye Elymus (Agropyron) trachycaulus - wild rye,,yes,Elymus,trachycaulis
greenhouse plot #3 - 1998,"Elymus elymoides (""squirrel tail grass"")",6/24/98,,,,,,,,,,greenhouse plot #3 - 1998,"Elymus elymoides (""squirrel tail grass"")","Elymus elymoides (""squirrel tail grass"")","Elymus elymoides (""squirrel tail grass"")","Elymus elymoides (""squirrel tail grass"") Elymus elymoides (""squirrel tail grass"") Elymus elymoides (""squirrel tail grass"")",,yes,Elymus,trachycaulis
rocky meadow #5 - 1998,Elymus elymoides (squrrel tail grass),4/30/98,,,,,,,,,,rocky meadow #5 - 1998,Elymus elymoides (squrrel tail grass),Elymus elymoides (squrrel tail grass),Elymus elymoides (squrrel tail grass),Elymus elymoides (squrrel tail grass) Elymus elymoides (squrrel tail grass) Elymus elymoides (squrrel tail grass),,yes,Elymus,trachycaulis
rocky meadow #9 - 2001,"Elymus glaucus (tight spike, 5-mm awns, NW corner)",3/27/01,,,,,,,,,,rocky meadow #9 - 2001,"Elymus glaucus (tight spike, 5-mm awns, NW corner)","Elymus glaucus (tight spike, 5-mm awns, NW corner)","Elymus glaucus (tight spike, 5-mm awns, NW corner)","Elymus glaucus (tight spike, 5-mm awns, NW corner) Elymus glaucus (tight spike, 5-mm awns, NW corner) Elymus glaucus (tight spike, 5-mm awns, NW corner)",,yes,Elymus,trachycaulis
rocky meadow #2 - 2003,"Elymus longifolius - squirreltail grass, northwest corner of plot",4/26/03,,,,,,,,,,rocky meadow #2 - 2003,"Elymus longifolius - squirreltail grass, northwest corner of plot","Elymus longifolius - squirreltail grass, northwest corner of plot","Elymus longifolius - squirreltail grass, northwest corner of plot","Elymus longifolius - squirreltail grass, northwest corner of plot Elymus longifolius - squirreltail grass, northwest corner of plot Elymus longifolius - squirreltail grass, northwest corner of plot",,yes,Elymus,trachycaulis
wet meadow #4 - 1999,Elymus spp. (squirrel tail),5/21/99,,,,,,,,,,wet meadow #4 - 1999,Elymus spp. (squirrel tail),Elymus spp. (squirrel tail),Elymus spp. (squirrel tail),Elymus spp. (squirrel tail) Elymus spp. (squirrel tail) Elymus spp. (squirrel tail),,yes,Elymus,trachycaulis
rm11988,Elymus?,5/6/88,,,,,,,,,,rm11988,Elymus?,,,Elymus?  ,,yes,Elymus,trachycaulis
rm41995,Epilobium  annual species,6/5/95,,,,,,,,,,rm41995,Epilobium,annual,species,Epilobium annual species,,yes,,
rm8-1985,Epilobium  lactiflorum,5/30/85,,,,,,,,,,rm8-1985,Epilobium,lactiflorum,,Epilobium lactiflorum ,,no,,,
rocky meadow plot #4 - 1997,Epilobium brachycarpum,5/18/97,,,,,,,,,,rocky meadow plot #4 - 1997,Epilobium,brachycarpum,,Epilobium brachycarpum ,,yes,,,
SB2-1973,Epilobium  saximontanum,6/20/73,,,,,,,,,,sb2-1973,Epilobium,saximontanum,,Epilobium saximontanum ,,no,,,not recently collected in Gothic -- usually higher alt.
SB6-1973,Epilobium  hornemanii,7/10/73,,,,,,,,,,sb6-1973,Epilobium,hornemanii,,Epilobium hornemanii ,,,,,1973 plot
rocky meadow #8 - 2004,Epilobium (?) species just outside plot to N; get it next year,5/1/04,,,,,,,,,,rocky meadow #8 - 2004,Epilobium (?) species just outside plot to N; get it next year,Epilobium (?) species just outside plot to N; get it next year,Epilobium (?) species just outside plot to N; get it next year,Epilobium (?) species just outside plot to N; get it next year Epilobium (?) species just outside plot to N; get it next year Epilobium (?) species just outside plot to N; get it next year,,yes,,,
EM1-1974,Erigeron elatior,5/26/74,,,,,,,,,,em1-1974,Erigeron,elatior,,Erigeron elatior ,,no,,,
RM1-1973,Erigeron  speciosus,6/6/73,,,,,,,,,,rm1-1973,Erigeron,speciosus,,Erigeron speciosus ,,no,,,
RM5-1973,Erigeron  flagellaris,6/6/73,,,,,,,,,,rm5-1973,Erigeron,flagellaris,,Erigeron flagellaris ,,no,,,
RM6-1973,Erigeron,6/20/73,,,,,,,,,,rm6-1973,Erigeron,,,Erigeron  ,,yes,Erigeron,flagellaris,
RM6-1974,Erigeron subalpinum,5/25/74,,,,,,,,,,rm6-1974,Erigeron,subalpinum,,Erigeron subalpinum ,,yes,Eriogonum,subalpinum,
RM8-1973,Erigeron  coulteri,7/10/73,,,,,,,,,,rm8-1973,Erigeron,coulteri,,Erigeron coulteri ,,no,,,
rm8-1984,Erigeron  sp.,5/27/84,,,,,,,,,,rm8-1984,Erigeron,sp.,,Erigeron sp. ,,,,,Erigeron no longer in RM8
VR2-1974,Erigeron ?,5/26/74,,,,,,,,,,vr2-1974,Erigeron,?,,Erigeron ? ,,,,,
RM8-1973,Erigeron?,7/10/73,,,,,,,,,,rm8-1973,Erigeron?,,,Erigeron?  ,,,,,Erigeron no longer in RM8
RM1-1973,Eriogonum  umbellatum,6/6/73,,,,,,,,,,rm1-1973,Eriogonum,umbellatum,,Eriogonum umbellatum ,,no,,,
RM2-1973,Eriogonum  subalpinum,6/6/73,,,,,,,,,,rm2-1973,Eriogonum,subalpinum,,Eriogonum subalpinum ,,no,,,
WM21977,Eriogonum?,6/5/77,,,,,,,,,,wm21977,Eriogonum?,,,Eriogonum?  ,,,,
greenhouse plot #2 - 2008,Erysimum,6/6/08,,,,,,,,,,greenhouse plot #2 - 2008,Erysimum,,,Erysimum  ,,yes,Erysimum,asperum
Greenhouse Plot #5 - 2007,Erysimum capitatum,5/10/07,,,,,,,,,,greenhouse plot #5 - 2007,Erysimum,capitatum,,Erysimum capitatum ,,no,,
RM7-1973,Erysimum  asperum,6/22/73,,,,,,,,,,rm7-1973,Erysimum,asperum,,Erysimum asperum ,,no,,
RM4-1975,Erythonium grandiflorum,6/3/75,,,,,,,,,,rm4-1975,Erythonium,grandiflorum,,Erythonium grandiflorum ,,no,,
RM4-1973,Erythronium  grandiflorum,6/6/73,,,33,,,,,,,rm4-1973,Erythronium,grandiflorum,,Erythronium grandiflorum ,,no,,
greenhouse plot #2 - 2000,Feather grass - pearl grass?,4/8/00,,,,,,,,,,greenhouse plot #2 - 2000,Feather grass - pearl grass?,Feather grass - pearl grass?,Feather grass - pearl grass?,Feather grass - pearl grass? Feather grass - pearl grass? Feather grass - pearl grass?,,yes,Deschampsia,caespitosa
rm1-1982,feathery grass,6/1/82,,,,,,,,,,rm1-1982,feathery,grass,,feathery grass ,,,,
greenhouse plot #3 - 2000,Festuca thurberi,4/8/00,,,,,,,,,,greenhouse plot #3 - 2000,Festuca,thurberi,,Festuca thurberi ,,no,,
greenhouse plot #3 - 2008,Festuca,5/29/08,,,,,,,,,,greenhouse plot #3 - 2008,Festuca,,,Festuca  ,,yes,Festuca,thurberi
rocky meadow #4 - 2001,Festuca rubra,3/27/01,,,,,,,,,,rocky meadow #4 - 2001,Festuca,rubra,,Festuca rubra ,,yes,Festuca,thurberi
rocky meadow #4 - 2004,Festuca pratensis (?),4/29/04,,,,,,,,,,rocky meadow #4 - 2004,Festuca,pratensis,(?),Festuca pratensis (?),,yes,Festuca,thurberi
Rocky Meadow #5 - 2007,"Festuca (?) - reddish, no awn, edge of N side",4/28/07,,,,,,,,,,rocky meadow #5 - 2007,"Festuca (?) - reddish, no awn, edge of N side","Festuca (?) - reddish, no awn, edge of N side","Festuca (?) - reddish, no awn, edge of N side","Festuca (?) - reddish, no awn, edge of N side Festuca (?) - reddish, no awn, edge of N side Festuca (?) - reddish, no awn, edge of N side",,yes,Festuca,thurberi
Rocky Meadow #2 - 2009,Festuca pratensis - bunch grass,5/9/09,,,,,,,,,,rocky meadow #2 - 2009,Festuca pratensis - bunch grass,Festuca pratensis - bunch grass,Festuca pratensis - bunch grass,Festuca pratensis - bunch grass Festuca pratensis - bunch grass Festuca pratensis - bunch grass,,yes,Festuca,thurberi
Rocky Meadow #2 - 2008,Festuca pratensis? - bunch grass,5/17/08,,,,,,,,,,rocky meadow #2 - 2008,Festuca pratensis? - bunch grass,Festuca pratensis? - bunch grass,Festuca pratensis? - bunch grass,Festuca pratensis? - bunch grass Festuca pratensis? - bunch grass Festuca pratensis? - bunch grass,,yes,Festuca,thurberi
rocky meadow #2 - 2003,Festuca thurberi - bunch grass,4/26/03,,,,,,,,,,rocky meadow #2 - 2003,Festuca thurberi - bunch grass,Festuca thurberi - bunch grass,Festuca thurberi - bunch grass,Festuca thurberi - bunch grass Festuca thurberi - bunch grass Festuca thurberi - bunch grass,,yes,Festuca,thurberi
int51996,Festuca?,5/10/96,,,,,,,,,,int51996,Festuca?,,,Festuca?  ,,yes,Festuca,thurberi
greenhouse plot #1 - 1997,Fragaria virginiana,6/3/97,,,,,,,,,,greenhouse plot #1 - 1997,Fragaria,virginiana,,Fragaria virginiana ,,no,,
SS2-1973,Fragaria,6/7/73,,,,,,,,,,ss2-1973,Fragaria,,,Fragaria  ,,yes,Fragaria,virginiana
rm3-1981,Galium  bifolium,5/13/81,,,,,,,,,,rm3-1981,Galium,bifolium,,Galium bifolium ,,no,,
RM7-1973,Galium  boreale,6/22/73,,,,,,,,,,rm7-1973,Galium,boreale,,Galium boreale ,,no,,
rocky meadow plot #7 - 1997,Galium septentrionale,5/18/97,,,,,,,,,,rocky meadow plot #7 - 1997,Galium,septentrionale,,Galium septentrionale ,,no,,
rocky meadow plot #1 - 1997,Gastrolychnis drummondii (maybe Silene antirrhina?),5/18/97,,,,,,,,,,rocky meadow plot #1 - 1997,Gastrolychnis drummondii (maybe Silene antirrhina?),Gastrolychnis drummondii (maybe Silene antirrhina?),Gastrolychnis drummondii (maybe Silene antirrhina?),Gastrolychnis drummondii (maybe Silene antirrhina?) Gastrolychnis drummondii (maybe Silene antirrhina?) Gastrolychnis drummondii (maybe Silene antirrhina?),,yes,,
Greenhouse Plot #2 - 2006,Gayophytum ramosissimum,5/4/06,,,,,,,,,,greenhouse plot #2 - 2006,Gayophytum,ramosissimum,,Gayophytum ramosissimum ,,no,,
INT1-1974,Gentiana calycosa,5/26/74,,,,,,,,,,int1-1974,Gentiana,calycosa,,Gentiana calycosa ,,,,
INT3-1974,Gentiana heterosepala,5/26/74,,,,,,,,,,int3-1974,Gentiana,heterosepala,,Gentiana heterosepala ,,,,
WMS1-1973,Gentiana  elegans,6/11/73,,,,,,,,,,wms1-1973,Gentiana,elegans,,Gentiana elegans ,,,,
w-m3-81,Gentianella  barbellata,5/14/81,,,,,,,,,,w-m3-81,Gentianella,barbellata,,Gentianella barbellata ,,,,
Willow-Meadow Interface Plot #3 - 2006,Gentianella acuta,5/4/06,,,,,,,,,,willow-meadow interface plot #3 - 2006,Gentianella,acuta,,Gentianella acuta ,,no,,
int11996,Gentianopis calycosa,5/10/96,,,,,,,,,,int11996,Gentianopis,calycosa,,Gentianopis calycosa ,,yes,Pneumonanthe,parryi
Stream (Calder) plot #1,Gentianopsis thermalis,6/10/04,,,,,,,,,,stream (calder) plot #1,Gentianopsis,thermalis,,Gentianopsis thermalis ,,no,,
SB2-1973,Geranium  richardsonii,6/20/73,,,,,,,,,,sb2-1973,Geranium,richardsonii,,Geranium richardsonii ,,no,,
Meadow (Enders) plot #1,Geum triflorum,6/10/04,,,13,,7,,,,,meadow (enders) plot #1,Geum,triflorum,,Geum triflorum ,,
Stream (Calder) plot #1,Geum - maybe not triflorum?  ,6/10/04,,,1,,1,,,,,stream (calder) plot #1,Geum - maybe not triflorum?  ,Geum - maybe not triflorum?  ,Geum - maybe not triflorum?  ,Geum - maybe not triflorum?   Geum - maybe not triflorum?   Geum - maybe not triflorum?  ,,yes
willow-meadow interface #4 - 1999,"giant Poa?  Fat flowers, inflorescence very spread out, NW corner",5/21/99,,,,,,,,,,willow-meadow interface #4 - 1999,"giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner","giant Poa?  Fat flowers, inflorescence very spread out, NW corner giant Poa?  Fat flowers, inflorescence very spread out, NW corner giant Poa?  Fat flowers, inflorescence very spread out, NW corner",,yes
RM6-1973,Gnaphalium  uliginosum,6/20/73,,,,38,,,,,,rm6-1973,Gnaphalium,uliginosum,,Gnaphalium uliginosum ,,no
em2-1986,grass (wheat),5/31/86,,,,,,,,,,em2-1986,grass,(wheat),,grass (wheat) ,,
INT41977,Grass,6/5/77,,,,,,,,,,int41977,Grass,,,Grass  ,,
rm2-1981,grass  feathery,5/13/81,,,,,,,,,,rm2-1981,grass,feathery,,grass feathery ,,
rm21987,grass - spike,5/5/87,,,,,,,,,,rm21987,grass,-,spike,grass - spike,,
rm6-1986,grass  reddish,5/31/86,,,,,,,,,,rm6-1986,grass,reddish,,grass reddish ,,
rm61988,grass  Poa-like,5/2/88,,,,,,,,,,rm61988,grass,Poa-like,,grass Poa-like ,,
RM8-1974,grass,5/25/74,,,,,,,,,,rm8-1974,grass,,,grass  ,,
rm91987,grass - spikes,5/5/87,,,,,,,,,,rm91987,grass,-,spikes,grass - spikes,,
Stream Plot #10 - 2008,grass - Trisetum? ,6/6/08,,,,,,,,,,stream plot #10 - 2008,grass,-,Trisetum?,grass - Trisetum?,,yes
w-m4-81,grass #3,5/14/81,,,,,,,,,,w-m4-81,grass,#3,,grass #3 ,,
w-m4-81,grass #4,5/14/81,,,,,,,,,,w-m4-81,grass,#4,,grass #4 ,,
w-m5-82,grass  feather,6/2/82,,,,,,,,,,w-m5-82,grass,feather,,grass feather ,,
w-m5-82,grass  spike,6/2/82,,,,,,,,,,w-m5-82,grass,spike,,grass spike ,,
wm1-1980,grass  Melica-like,6/3/80,,,,,,,,,,wm1-1980,grass,Melica-like,,grass Melica-like ,,
wm1-1982,grass  short spike,6/2/82,,,,,,,,,,wm1-1982,grass,short,spike,grass short spike,,
wm1-1983,Grass  (wheat),6/8/83,,,,,,,,,,wm1-1983,Grass,(wheat),,Grass (wheat) ,,
wm2-1982,grass  short spikes,6/2/82,,,,,,,,,,wm2-1982,grass,short,spikes,grass short spikes,,
wm2-1986,grass  long awns,5/31/86,,,,,,,,,,wm2-1986,grass,long,awns,grass long awns,,
wm3-1984,grass #1,5/28/84,,,,,,,,,,wm3-1984,grass,#1,,grass #1 ,,
wm3-1984,grass #2,5/28/84,,,,,,,,,,wm3-1984,grass,#2,,grass #2 ,,
wm4-1986,grass  wheat,5/31/86,,,,,,,,,,wm4-1986,grass,wheat,,grass wheat ,,
wm2-1986,grass  compact head (Phleum?),5/31/86,,,,,,,,,,wm2-1986,grass  compact head (Phleum?),grass  compact head (Phleum?),grass  compact head (Phleum?),grass  compact head (Phleum?) grass  compact head (Phleum?) grass  compact head (Phleum?),,
rm21992,grass -  compact elongated heads,5/14/92,,,,,,,,,,rm21992,grass -  compact elongated heads,grass -  compact elongated heads,grass -  compact elongated heads,grass -  compact elongated heads grass -  compact elongated heads grass -  compact elongated heads,,
rm81991,grass -  wheat grass,5/29/91,,,,,,,,,,rm81991,grass -  wheat grass,grass -  wheat grass,grass -  wheat grass,grass -  wheat grass grass -  wheat grass grass -  wheat grass,,
rm61994,"grass - bunchgrass, NE corner",6/4/94,,,,,,,,,,rm61994,"grass - bunchgrass, NE corner","grass - bunchgrass, NE corner","grass - bunchgrass, NE corner","grass - bunchgrass, NE corner grass - bunchgrass, NE corner grass - bunchgrass, NE corner",,yes
int51991,grass - dense head,5/30/91,,,,,,,,,,int51991,grass - dense head,grass - dense head,grass - dense head,grass - dense head grass - dense head grass - dense head,,
wet meadow #4 - 2002,"grass - giant Poa? About 2 feet tall, NE corner",4/11/02,,,,,,,,,,wet meadow #4 - 2002,"grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner","grass - giant Poa? About 2 feet tall, NE corner grass - giant Poa? About 2 feet tall, NE corner grass - giant Poa? About 2 feet tall, NE corner",,yes
wet meadow #3 - 1998,"grass - giant Poa?? Big yellow anthers, NW corner",5/2/98,,,,,,,,,,wet meadow #3 - 1998,"grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner","grass - giant Poa?? Big yellow anthers, NW corner grass - giant Poa?? Big yellow anthers, NW corner grass - giant Poa?? Big yellow anthers, NW corner",,yes
rm61993,"grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides",6/2/93,,,,,,,,,,rm61993,"grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides","grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides grass - green or slightly reddish  pretty tight spikes, total 19 stalks, N and S sides",,yes
rm81994,"grass - heavy heads, drooping some, large flowers",6/4/94,,,,,,,,,,rm81994,"grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers","grass - heavy heads, drooping some, large flowers grass - heavy heads, drooping some, large flowers grass - heavy heads, drooping some, large flowers",,yes
rm21991,grass - long awns,5/29/91,,,,,,,,,,rm21991,grass - long awns,grass - long awns,grass - long awns,grass - long awns grass - long awns grass - long awns,,
rm91993,"grass - long awns, all green, tall",6/2/93,,,,,,,,,,rm91993,"grass - long awns, all green, tall","grass - long awns, all green, tall","grass - long awns, all green, tall","grass - long awns, all green, tall grass - long awns, all green, tall grass - long awns, all green, tall",,yes
wm21993,"grass - long awns, tall",6/3/93,,,,,,,,,,wm21993,"grass - long awns, tall","grass - long awns, tall","grass - long awns, tall","grass - long awns, tall grass - long awns, tall grass - long awns, tall",,yes
int51993,"grass - long awns, tight head",6/3/93,,,,,,,,,,int51993,"grass - long awns, tight head","grass - long awns, tight head","grass - long awns, tight head","grass - long awns, tight head grass - long awns, tight head grass - long awns, tight head",,yes
rm31991,grass - long awns.1,5/29/91,,,,,,,,,,rm31991,grass - long awns.1,grass - long awns.1,grass - long awns.1,grass - long awns.1 grass - long awns.1 grass - long awns.1,,
int11996,"grass - long tight head, medium-long awns, SE corner",5/10/96,,,,,,,,,,int11996,"grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner","grass - long tight head, medium-long awns, SE corner grass - long tight head, medium-long awns, SE corner grass - long tight head, medium-long awns, SE corner",,yes
int51995,"grass - long tight heads, middle of plot",6/10/95,,,,,,,,,,int51995,"grass - long tight heads, middle of plot","grass - long tight heads, middle of plot","grass - long tight heads, middle of plot","grass - long tight heads, middle of plot grass - long tight heads, middle of plot grass - long tight heads, middle of plot",,yes
wet meadow #1 - 1998,"grass - lots of tiny yellow anthers, tight head, SE corner",5/2/98,,,,,,,,,,wet meadow #1 - 1998,"grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner","grass - lots of tiny yellow anthers, tight head, SE corner grass - lots of tiny yellow anthers, tight head, SE corner grass - lots of tiny yellow anthers, tight head, SE corner",,yes
em21991,grass - nodding brome,5/30/91,,,,,,,,,,em21991,grass - nodding brome,grass - nodding brome,grass - nodding brome,grass - nodding brome grass - nodding brome grass - nodding brome,,
greenhouse plot #2 - 1998,grass - pearl grass?,5/2/98,,,,,,,,,,greenhouse plot #2 - 1998,grass - pearl grass?,grass - pearl grass?,grass - pearl grass?,grass - pearl grass? grass - pearl grass? grass - pearl grass?,,yes
gp21995,grass - pearl grass?  NE corner,6/10/95,,,,,,,,,,gp21995,grass - pearl grass?  NE corner,grass - pearl grass?  NE corner,grass - pearl grass?  NE corner,grass - pearl grass?  NE corner grass - pearl grass?  NE corner grass - pearl grass?  NE corner,,yes
rm21993,grass - Poa species #2?  NW corner,6/2/93,,,,,,,,,,rm21993,grass - Poa species #2?  NW corner,grass - Poa species #2?  NW corner,grass - Poa species #2?  NW corner,grass - Poa species #2?  NW corner grass - Poa species #2?  NW corner grass - Poa species #2?  NW corner,,yes
rm21991,"grass - Poa-like, NW corner",5/29/91,,,,,,,,,,rm21991,"grass - Poa-like, NW corner","grass - Poa-like, NW corner","grass - Poa-like, NW corner","grass - Poa-like, NW corner grass - Poa-like, NW corner grass - Poa-like, NW corner",,
rm41991,grass - Poa?  SE corner,5/29/91,,,,,,,,,,rm41991,grass - Poa?  SE corner,grass - Poa?  SE corner,grass - Poa?  SE corner,grass - Poa?  SE corner grass - Poa?  SE corner grass - Poa?  SE corner,,
rm91991,"grass - Poa?, tall, inflorescence spread out",5/29/91,,,,,,,,,,rm91991,"grass - Poa?, tall, inflorescence spread out","grass - Poa?, tall, inflorescence spread out","grass - Poa?, tall, inflorescence spread out","grass - Poa?, tall, inflorescence spread out grass - Poa?, tall, inflorescence spread out grass - Poa?, tall, inflorescence spread out",,
rm61991,"grass - purple, stiff",5/29/91,,,,,,,,,,rm61991,"grass - purple, stiff","grass - purple, stiff","grass - purple, stiff","grass - purple, stiff grass - purple, stiff grass - purple, stiff",,
rm41991,"grass - purple, stiff, mostly in NE corner",5/29/91,,,,,,,,,,rm41991,"grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner","grass - purple, stiff, mostly in NE corner grass - purple, stiff, mostly in NE corner grass - purple, stiff, mostly in NE corner",,
rm51995,"grass - robust, short, compact, East of rock in middle",6/5/95,,,,,,,,,,rm51995,"grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle","grass - robust, short, compact, East of rock in middle grass - robust, short, compact, East of rock in middle grass - robust, short, compact, East of rock in middle",,yes
